PERMNO,date,TICKER,COMNAM,DLPRC,DLRET,PRC,RET,SHROUT
10104,20060731,ORCL,ORACLE CORP,,,14.97000,0.033126,5238329
10104,20060831,ORCL,ORACLE CORP,,,15.66000,0.046092,5185000
10104,20060929,ORCL,ORACLE CORP,,,17.74000,0.132822,5195474
10104,20061031,ORCL,ORACLE CORP,,,18.47000,0.041150,5195474
10104,20061130,ORCL,ORACLE CORP,,,19.05000,0.031402,5178000
10104,20061229,ORCL,ORACLE CORP,,,17.14000,-0.100262,5182191
10104,20070131,ORCL,ORACLE CORP,,,17.16000,0.001167,5182191
10104,20070228,ORCL,ORACLE CORP,,,16.43000,-0.042541,5136000
10104,20070330,ORCL,ORACLE CORP,,,18.13000,0.103469,5140863
10104,20070430,ORCL,ORACLE CORP,,,18.80000,0.036955,5140863
10104,20070531,ORCL,ORACLE CORP,,,19.38000,0.030851,5107000
10104,20070629,ORCL,ORACLE CORP,,,19.71000,0.017028,5113036
10104,20070731,ORCL,ORACLE CORP,,,19.12000,-0.029934,5113036
10104,20070831,ORCL,ORACLE CORP,,,20.28000,0.060669,5117000
10104,20070928,ORCL,ORACLE CORP,,,21.65000,0.067554,5121310
10104,20071031,ORCL,ORACLE CORP,,,22.17000,0.024018,5121310
10104,20071130,ORCL,ORACLE CORP,,,20.18000,-0.089761,5128000
10104,20071231,ORCL,ORACLE CORP,,,22.58000,0.118930,5136588
10104,20080131,ORCL,ORACLE CORP,,,20.55000,-0.089903,5136588
10104,20080229,ORCL,ORACLE CORP,,,18.80000,-0.085158,5149000
10104,20080331,ORCL,ORACLE CORP,,,19.56000,0.040426,5151525
10104,20080430,ORCL,ORACLE CORP,,,20.85000,0.065951,5151525
10104,20080530,ORCL,ORACLE CORP,,,22.84000,0.095444,5150000
10104,20080630,ORCL,ORACLE CORP,,,21.00000,-0.080560,5155842
10104,20080731,ORCL,ORACLE CORP,,,21.53000,0.025238,5155842
10104,20080829,ORCL,ORACLE CORP,,,21.93000,0.018579,5154000
10104,20080930,ORCL,ORACLE CORP,,,20.31000,-0.073871,5154458
10104,20081031,ORCL,ORACLE CORP,,,18.29000,-0.099458,5154458
10104,20081128,ORCL,ORACLE CORP,,,16.09000,-0.120284,5046000
10104,20081231,ORCL,ORACLE CORP,,,17.73000,0.101927,5046177
10104,20090130,ORCL,ORACLE CORP,,,16.83000,-0.050761,5046177
10104,20090227,ORCL,ORACLE CORP,,,15.54000,-0.076649,4983000
10104,20090331,ORCL,ORACLE CORP,,,18.07000,0.162806,4983414
10104,20090430,ORCL,ORACLE CORP,,,19.34000,0.073049,4983414
10104,20090529,ORCL,ORACLE CORP,,,19.59000,0.012927,5005000
10104,20090630,ORCL,ORACLE CORP,,,21.42000,0.093415,5007230
10104,20090731,ORCL,ORACLE CORP,,,22.13000,0.035481,5007230
10104,20090831,ORCL,ORACLE CORP,,,21.88000,-0.011297,5012000
10104,20090930,ORCL,ORACLE CORP,,,20.84000,-0.047532,5013168
10104,20091030,ORCL,ORACLE CORP,,,21.10000,0.014875,5013168
10104,20091130,ORCL,ORACLE CORP,,,22.08000,0.046445,5009000
10104,20091231,ORCL,ORACLE CORP,,,24.53000,0.110960,5011220
10104,20100129,ORCL,ORACLE CORP,,,23.06000,-0.057888,5011220
10104,20100226,ORCL,ORACLE CORP,,,24.65000,0.068951,5015000
10104,20100331,ORCL,ORACLE CORP,,,25.71000,0.043002,5019091
10104,20100430,ORCL,ORACLE CORP,,,25.86750,0.008071,5029523
10104,20100528,ORCL,ORACLE CORP,,,22.57000,-0.127477,5026000
10104,20100630,ORCL,ORACLE CORP,,,21.46000,-0.049180,5026000
10104,20100730,ORCL,ORACLE CORP,,,23.64000,0.103914,5026000
10104,20100831,ORCL,ORACLE CORP,,,21.84500,-0.075931,5025000
10104,20100930,ORCL,ORACLE CORP,,,26.85000,0.229114,5027114
10104,20101029,ORCL,ORACLE CORP,,,29.38000,0.096089,5027114
10104,20101130,ORCL,ORACLE CORP,,,27.04500,-0.079476,5051000
10104,20101231,ORCL,ORACLE CORP,,,31.30000,0.157330,5052420
10104,20110131,ORCL,ORACLE CORP,,,32.03000,0.024920,5052420
10104,20110228,ORCL,ORACLE CORP,,,32.90000,0.027162,5061000
10104,20110331,ORCL,ORACLE CORP,,,33.43250,0.016185,5060516
10104,20110429,ORCL,ORACLE CORP,,,35.96000,0.077395,5060516
10104,20110531,ORCL,ORACLE CORP,,,34.22000,-0.048387,5068000
10104,20110630,ORCL,ORACLE CORP,,,32.91000,-0.038282,5065515
10104,20110729,ORCL,ORACLE CORP,,,30.58000,-0.068976,5065515
10104,20110831,ORCL,ORACLE CORP,,,28.07000,-0.082080,5051000
10104,20110930,ORCL,ORACLE CORP,,,28.74000,0.023869,5044602
10104,20111031,ORCL,ORACLE CORP,,,32.77000,0.142310,5044602
10104,20111130,ORCL,ORACLE CORP,,,31.35000,-0.043332,5032000
10104,20111230,ORCL,ORACLE CORP,,,25.65000,-0.181818,5025837
10104,20120131,ORCL,ORACLE CORP,,,28.21000,0.102144,5025837
10104,20120229,ORCL,ORACLE CORP,,,29.25500,0.037044,4979000
10104,20120330,ORCL,ORACLE CORP,,,29.16000,-0.003247,4975106
10104,20120430,ORCL,ORACLE CORP,,,29.40000,0.010288,4975106
10104,20120531,ORCL,ORACLE CORP,,,26.47000,-0.099660,4905000
10104,20120629,ORCL,ORACLE CORP,,,29.70000,0.122025,4882506
10104,20120731,ORCL,ORACLE CORP,,,30.20000,0.018855,4882506
10104,20120831,ORCL,ORACLE CORP,,,31.65000,0.048013,4831000
10104,20120928,ORCL,ORACLE CORP,,,31.46000,-0.006003,4819056
10104,20121031,ORCL,ORACLE CORP,,,31.08000,-0.010172,4819056
10104,20121130,ORCL,ORACLE CORP,,,32.17500,0.035232,4748000
10104,20121231,ORCL,ORACLE CORP,,,33.32000,0.041181,4734297
10104,20130131,ORCL,ORACLE CORP,,,35.51000,0.065726,4734297
10104,20130228,ORCL,ORACLE CORP,,,34.24000,-0.035764,4719000
10104,20130328,ORCL,ORACLE CORP,,,32.33000,-0.055783,4710658
10104,20130430,ORCL,ORACLE CORP,,,32.78000,0.013919,4698310
10104,20130531,ORCL,ORACLE CORP,,,33.78000,0.030506,4646000
10104,20130628,ORCL,ORACLE CORP,,,30.71000,-0.090882,4646000
10104,20130731,ORCL,ORACLE CORP,,,32.35000,0.057310,4630807
10104,20130830,ORCL,ORACLE CORP,,,31.86000,-0.015147,4630807
10104,20130930,ORCL,ORACLE CORP,,,33.17000,0.041117,4557459
10104,20131031,ORCL,ORACLE CORP,,,33.50000,0.013567,4557459
10104,20131129,ORCL,ORACLE CORP,,,35.29000,0.053433,4557459
10104,20131231,ORCL,ORACLE CORP,,,38.26000,0.084160,4497409
10104,20140131,ORCL,ORACLE CORP,,,36.90000,-0.032410,4497409
10104,20140228,ORCL,ORACLE CORP,,,39.11000,0.059892,4497409
10104,20140331,ORCL,ORACLE CORP,,,40.91000,0.046024,4458886
10104,20140430,ORCL,ORACLE CORP,,,40.88000,0.002200,4458886
10104,20140530,ORCL,ORACLE CORP,,,42.02000,0.027886,4458886
10104,20140630,ORCL,ORACLE CORP,,,40.53000,-0.035459,4454889
10104,20140731,ORCL,ORACLE CORP,,,40.39000,-0.000493,4454889
10104,20140829,ORCL,ORACLE CORP,,,41.53000,0.028225,4454889
10104,20140930,ORCL,ORACLE CORP,,,38.28000,-0.078257,4431304
10104,20141031,ORCL,ORACLE CORP,,,39.05000,0.023250,4431304
10104,20141128,ORCL,ORACLE CORP,,,42.41000,0.086044,4431304
10104,20141231,ORCL,ORACLE CORP,,,44.97000,0.060363,4391367
10104,20150130,ORCL,ORACLE CORP,,,41.89000,-0.065822,4391367
10104,20150227,ORCL,ORACLE CORP,,,43.82000,0.046073,4391367
10104,20150331,ORCL,ORACLE CORP,,,43.15000,-0.015290,4367070
10104,20150430,ORCL,ORACLE CORP,,,43.62000,0.014368,4698310
10104,20150529,ORCL,ORACLE CORP,,,43.49000,-0.002980,4367070
10104,20150630,ORCL,ORACLE CORP,,,40.30000,-0.073350,4336077
10104,20150731,ORCL,ORACLE CORP,,,39.94000,-0.005211,4336077
10104,20150831,ORCL,ORACLE CORP,,,37.09000,-0.071357,4336077
10104,20150930,ORCL,ORACLE CORP,,,36.12000,-0.026153,4264628
10104,20151030,ORCL,ORACLE CORP,,,38.84000,0.079457,4264628
10104,20151130,ORCL,ORACLE CORP,,,38.97000,0.003347,4264628
10104,20151231,ORCL,ORACLE CORP,,,36.53000,-0.062612,4201220
10104,20160129,ORCL,ORACLE CORP,,,36.31000,-0.001916,4201220
10104,20160229,ORCL,ORACLE CORP,,,36.78000,0.012944,4201220
10104,20160331,ORCL,ORACLE CORP,,,40.91000,0.112289,4149865
10104,20160429,ORCL,ORACLE CORP,,,39.86000,-0.021999,4149865
10104,20160531,ORCL,ORACLE CORP,,,40.20000,0.008530,4149865
10104,20160630,ORCL,ORACLE CORP,,,40.93000,0.018159,4122730
10107,20060731,MSFT,MICROSOFT CORP,,,24.06000,0.032618,10062000
10107,20060831,MSFT,MICROSOFT CORP,,,25.70000,0.071904,9969992
10107,20060929,MSFT,MICROSOFT CORP,,,27.35000,0.064202,9820000
10107,20061031,MSFT,MICROSOFT CORP,,,28.71000,0.049726,9830460
10107,20061130,MSFT,MICROSOFT CORP,,,29.36000,0.026123,9830460
10107,20061229,MSFT,MICROSOFT CORP,,,29.86000,0.017030,9777000
10107,20070131,MSFT,MICROSOFT CORP,,,30.86000,0.033490,9792314
